rank,size,corpus_nodes,shadow_nodes,top_call_type,homogeneity
1,416,20,396,Telemarketer,0.45
2,336,39,297,Scam suspicion,0.5128
3,133,1,132,Telemarketer,1.0
4,127,26,101,Debt collector,0.9615
5,108,5,103,Scam suspicion,0.8
6,91,2,89,Debt collector,1.0
7,83,24,59,Scam suspicion,0.7083
8,67,6,61,Scam suspicion,0.8333
9,66,29,37,Scam suspicion,1.0
10,49,4,45,Prank,0.75
11,40,4,36,Debt collector,1.0
12,36,9,27,Scam suspicion,0.7778
13,36,1,35,Prank,1.0
14,33,27,6,Scam suspicion,1.0
15,30,27,3,Telemarketer,0.5185
16,28,1,27,Telemarketer,1.0
17,28,3,25,Fax,0.6667
18,27,2,25,Scam suspicion,1.0
19,27,1,26,Telemarketer,1.0
20,26,9,17,Scam suspicion,0.5556
21,26,5,21,Telemarketer,0.8
22,25,3,22,Scam suspicion,1.0
23,25,3,22,Scam suspicion,1.0
24,23,6,17,Scam suspicion,0.6667
25,22,18,4,Telemarketer,0.6667
26,22,1,21,Scam suspicion,1.0
27,20,1,19,Fax,1.0
28,20,1,19,Debt collector,1.0
29,20,2,18,Prank,0.5
30,20,1,19,Telemarketer,1.0
31,19,1,18,Telemarketer,1.0
32,18,17,1,Scam suspicion,1.0
33,18,12,6,Fax,0.9167
34,18,14,4,Scam suspicion,0.9286
35,18,1,17,Prank,1.0
36,18,1,17,Debt collector,1.0
37,17,3,14,Valid,0.6667
38,17,16,1,Telemarketer,0.625
39,17,11,6,Scam suspicion,0.8182
40,17,1,16,Prank,1.0
41,16,1,15,Debt collector,1.0
42,16,2,14,Scam suspicion,1.0
43,15,6,9,Scam suspicion,1.0
44,15,11,4,Scam suspicion,0.5455
45,15,11,4,Scam suspicion,0.6364
46,15,1,14,Valid,1.0
47,15,1,14,Debt collector,1.0
48,15,1,14,Telemarketer,1.0
49,15,3,12,Scam suspicion,0.6667
50,14,1,13,Unknown,1.0
51,14,1,13,Scam suspicion,1.0
52,14,5,9,Scam suspicion,0.8
53,14,1,13,Debt collector,1.0
54,14,1,13,Scam suspicion,1.0
55,14,1,13,Scam suspicion,1.0
56,13,6,7,Scam suspicion,1.0
57,13,3,10,Political call,0.6667
58,13,3,10,Scam suspicion,0.6667
59,13,4,9,Scam suspicion,0.75
60,13,1,12,Prank,1.0
61,13,1,12,Fax,1.0
62,12,5,7,Scam suspicion,0.8
63,12,3,9,Scam suspicion,0.6667
64,12,4,8,Debt collector,0.5
65,12,8,4,Scam suspicion,1.0
66,12,3,9,Debt collector,0.6667
67,12,1,11,Scam suspicion,1.0
68,12,3,9,Scam suspicion,0.3333
69,12,4,8,Debt collector,1.0
70,12,4,8,Scam suspicion,1.0
71,12,1,11,Telemarketer,1.0
72,12,1,11,Prank,1.0
73,11,4,7,Scam suspicion,0.75
74,11,10,1,Telemarketer,1.0
75,11,1,10,Scam suspicion,1.0
76,11,2,9,Telemarketer,1.0
77,11,10,1,Scam suspicion,1.0
78,11,1,10,Debt collector,1.0
79,11,1,10,Prank,1.0
80,11,2,9,Scam suspicion,1.0
81,11,1,10,Scam suspicion,1.0
82,11,2,9,Debt collector,0.5
83,11,2,9,Unwanted,0.5
84,11,1,10,Telemarketer,1.0
85,10,1,9,Telemarketer,1.0
86,10,4,6,Scam suspicion,0.5
87,10,3,7,Debt collector,0.6667
88,10,9,1,Scam suspicion,0.5556
89,10,1,9,Survey,1.0
90,10,1,9,Telemarketer,1.0
91,10,1,9,Scam suspicion,1.0
92,10,2,8,Scam suspicion,1.0
93,10,1,9,Debt collector,1.0
94,10,1,9,Scam suspicion,1.0
95,10,1,9,Unknown,1.0
96,10,2,8,Unwanted,0.5
97,10,1,9,Scam suspicion,1.0
98,10,3,7,Scam suspicion,1.0
99,10,1,9,Scam suspicion,1.0
100,10,1,9,Debt collector,1.0
101,10,1,9,Telemarketer,1.0
102,9,2,7,Scam suspicion,1.0
103,9,4,5,Telemarketer,0.5
104,9,1,8,Telemarketer,1.0
105,9,8,1,Telemarketer,0.625
106,9,1,8,Non-profit organization,1.0
107,9,2,7,Debt collector,0.5
108,9,2,7,Unknown,0.5
109,9,1,8,Debt collector,1.0
110,9,1,8,Telemarketer,1.0
111,9,1,8,Political call,1.0
112,9,2,7,Debt collector,1.0
113,9,3,6,Debt collector,0.6667
114,9,1,8,Scam suspicion,1.0
115,9,1,8,Telemarketer,1.0
116,9,2,7,Scam suspicion,1.0
117,9,1,8,Fax,1.0
118,9,1,8,Debt collector,1.0
119,9,3,6,Scam suspicion,0.6667
120,9,2,7,Debt collector,1.0
121,9,1,8,Debt collector,1.0
122,9,1,8,Debt collector,1.0
123,9,1,8,Unwanted,1.0
124,8,4,4,Scam suspicion,1.0
125,8,3,5,Scam suspicion,1.0
126,8,4,4,Debt collector,1.0
127,8,5,3,Scam suspicion,1.0
128,8,2,6,Scam suspicion,1.0
129,8,3,5,Scam suspicion,1.0
130,8,1,7,Telemarketer,1.0
131,8,2,6,Debt collector,1.0
132,8,3,5,Fax,1.0
133,8,3,5,Scam suspicion,0.6667
134,8,2,6,Unwanted,0.5
135,8,3,5,Unknown,0.6667
136,8,2,6,Scam suspicion,1.0
137,8,1,7,Event reminder,1.0
138,8,1,7,Telemarketer,1.0
139,8,3,5,Scam suspicion,0.6667
140,8,1,7,Non-profit organization,1.0
141,8,3,5,Scam suspicion,1.0
142,8,1,7,Debt collector,1.0
143,8,1,7,Telemarketer,1.0
144,8,1,7,Scam suspicion,1.0
145,8,2,6,Scam suspicion,1.0
146,8,1,7,Scam suspicion,1.0
147,8,1,7,Text message,1.0
148,8,3,5,Unknown,0.3333
149,8,3,5,Scam suspicion,1.0
150,8,1,7,Scam suspicion,1.0
151,8,1,7,Debt collector,1.0
152,8,1,7,Scam suspicion,1.0
153,8,1,7,Scam suspicion,1.0
154,8,1,7,Scam suspicion,1.0
155,7,5,2,Debt collector,0.8
156,7,3,4,Text message,1.0
157,7,3,4,Scam suspicion,0.6667
158,7,5,2,Scam suspicion,1.0
159,7,1,6,Telemarketer,1.0
160,7,5,2,Telemarketer,0.8
161,7,2,5,Scam suspicion,1.0
162,7,7,0,Scam suspicion,0.5714
163,7,6,1,Scam suspicion,1.0
164,7,1,6,Telemarketer,1.0
165,7,6,1,Scam suspicion,0.6667
166,7,3,4,Unwanted,1.0
167,7,2,5,Scam suspicion,0.5
168,7,1,6,Debt collector,1.0
169,7,3,4,Scam suspicion,1.0
170,7,1,6,Debt collector,1.0
171,7,1,6,Debt collector,1.0
172,7,1,6,Scam suspicion,1.0
173,7,1,6,Debt collector,1.0
174,7,1,6,Telemarketer,1.0
175,7,3,4,Scam suspicion,1.0
176,7,1,6,Debt collector,1.0
177,7,1,6,Event reminder,1.0
178,7,5,2,Scam suspicion,1.0
179,7,2,5,Scam suspicion,0.5
180,7,3,4,Unknown,0.3333
181,7,2,5,Unknown,0.5
182,7,1,6,Debt collector,1.0
183,7,2,5,Debt collector,1.0
184,7,3,4,Scam suspicion,0.6667
185,7,2,5,Scam suspicion,0.5
186,7,1,6,Debt collector,1.0
187,7,1,6,Survey,1.0
188,7,4,3,Survey,0.75
189,6,4,2,Survey,0.5
190,6,4,2,Scam suspicion,0.75
191,6,5,1,Scam suspicion,0.6
192,6,3,3,Scam suspicion,1.0
193,6,1,5,Debt collector,1.0
