source_e164,target_e164,our_context,platform_context,window,date,manual_label
+12019712252,+16506065806,callback,mentioned,Gary M. Left same message as stated previously.  Call actually originated from 650-606-5806.  Recording stated I could call them back at this number for any reason.  Never identified themselves or the,2025-02-13,
+12029602610,+13392981894,callback,mentioned,s again my number is 2029602610 if you'd like to opt out just call the number that came through on your caller ID…” btw 339-298-1894 doesn't show up much in a reverse look-up which tends to mean that ,2025-08-13,
+12063171447,+18056938044,callback,mentioned,Frank ross Called using 805-693-8044 claiming to be the IRS wanting me to call them back at 206-317-1447,2015-01-09,
+12063171447,+12397682902,callback,mentioned,"Mark I got the same automated call too, our ID box showed it was from a Tabitha Grosser at (239)768-2902, although the message said to call (206)-317-1447.  I knew better, but even if it was the IRS, ",2015-01-07,
+12067360688,+12127867849,callback,mentioned,"s automated reference system.  I picked up,  kept saying hello,  no answer.  Called the number,  told to call Zillow at 212-786-7849.",2018-10-22,
+12094327436,+18772713147,callback,mentioned,"is number 209-432-7436 saying the following ""My name Case ID 2021-43312 notice of action with my address No call needed 877-271-3147."" Stay alert people and do not reply or call the number.",2025-04-15,
+12104057006,+12102930161,callback,mentioned,Stacey I got the robo-call from Nancy @ the IRS stating I needed to call 210-293-0161 before they report me to the local police department for a warrant issued for my arrest. I CALLED THEM BACK just t,2017-02-09,
+12122397500,+18667411250,callback,mentioned,Renee This number called me and asked that I call them back at 1-866-741-1250 to verify my order. I though nothing of it and called back. Let me tell you this was not the verification department. T,2016-04-14,
+12125777020,+14808425280,callback,mentioned,ed me to someone who answered Experian. I hung up and they called back 4 times from this number and finally called from 4808425280 a couple of times. Didn't answer. Definitely a scam.,2025-06-03,
+12126348723,+18332802588,callback,mentioned,"m the date of birth ... came from a number 212-634-8723 and then when we asked where to call Fidelis, they said to call 833-280-2588",2021-12-27,
+12126550034,+12124332617,callback,mentioned,"you to help schedule an important in-home health visit you're due for, which is covered by your plan. Please call us at 212-433-2617 to learn more and schedule at a convenient time. Get care that come",2026-03-02,
