hub,fan_in,complaints,in_corpus,blacklist_finds
+18772000760,15,0,No,No
+18772003699,10,0,No,No
+18779411030,7,0,No,No
+18334872573,6,0,No,No
+13072929758,6,0,No,No
+18664570072,5,0,No,No
+18556820740,4,0,No,No
+18885991096,3,0,No,No
+18666590805,3,0,No,No
+18778675139,3,0,No,No
+18335883786,3,0,No,No
+18773960066,3,0,No,No
+18334872576,3,0,No,No
+18334872577,3,0,No,No
+13044541294,3,0,No,No
+18332030519,2,0,No,No
+18552911375,2,0,No,No
+18667056003,2,0,No,No
+18669181918,2,0,No,No
+18334210745,2,0,No,No
+18669591247,2,0,No,No
+18443060627,2,0,No,No
+18664504447,2,0,No,No
+18664570045,2,0,No,No
+18882889945,2,0,No,No
+18334450067,1,0,No,No
+18334453021,1,0,No,No
+12232046154,1,0,No,No
+18668784934,1,0,No,No
+13512044244,1,0,No,No
+12048370391,1,0,No,No
+12066462064,1,0,No,No
+17606784122,1,0,No,No
+18005330877,1,0,No,No
+18887860091,1,0,No,No
+18446137440,1,0,No,No
+12085795521,1,0,No,No
+18663831834,1,0,No,No
+18558741852,1,0,No,No
+18772458055,1,0,No,No
+17185709438,1,0,No,No
+12124174313,1,0,No,No
+19143372406,1,0,No,No
+18332802588,1,0,No,No
+18889644625,1,0,No,No
+12135504173,1,0,No,No
+18007323799,1,0,No,No
+19724285972,1,0,No,No
+14692530008,1,0,No,No
+12157501845,1,0,No,No
+18883352690,1,0,No,No
+18337043571,1,0,No,No
+12026210932,1,0,No,No
+14808253145,1,0,No,No
+19156131890,1,0,No,No
+18333813505,1,0,No,No
+18439684623,1,0,No,No
+18886051211,1,0,No,No
+18773820111,1,0,No,No
+17712223296,1,0,No,No
+17854004617,1,0,No,No
+15729000906,1,0,No,No
+18886747141,1,0,No,No
+18889195704,1,0,No,No
+18449860454,1,0,No,No
+18332984300,1,0,No,No
+14103349879,1,0,No,No
+18558666950,1,0,No,No
+18668770563,1,0,No,No
+18332133710,1,0,No,No
+18558285309,1,0,No,No
+19027652140,1,0,No,No
+13022661286,1,0,No,No
+11111111111,1,0,No,No
+16095824370,1,0,No,No
+18665345980,1,0,No,No
+18553487061,1,0,No,No
+17042808623,1,0,No,No
+19132145228,1,0,No,No
+18446533384,1,0,No,No
+12659416147,1,0,No,No
